time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA
2023-05-31T21:43:00+02:00,27153.91,27154.34,27143.35,27145.61,27117.18900000005,27106.090399999975,NaN,NaN,0.29581,0.2840085
2023-05-31T21:44:00+02:00,27147.9,27171.5,27147.34,27168.08,27120.432000000048,27107.436399999973,NaN,NaN,2.32339,0.3920495
2023-05-31T21:45:00+02:00,27167.56,27199.47,27167.56,27171.76,27124.49600000005,27108.77099999997,NaN,NaN,1.31021,0.45139949999999995
2023-05-31T21:46:00+02:00,27169.48,27187.77,27151.93,27173.67,27128.226000000046,27110.120199999972,NaN,NaN,7.27075,0.7761214999999999
2023-05-31T21:47:00+02:00,27170.77,27193.83,27156.38,27181.18,27132.24000000005,27111.434399999973,NaN,NaN,2.93082,0.9159139999999999
2023-05-31T21:48:00+02:00,27182.97,27195.16,27177.9,27188.42,27136.60300000005,27112.987399999973,NaN,NaN,0.64941,0.9433929999999998
2023-05-31T21:49:00+02:00,27186.89,27186.89,27181.52,27182.95,27141.289000000048,27114.518599999974,NaN,NaN,0.34776,0.9554464999999999
2023-05-31T21:50:00+02:00,27182.42,27190.37,27168.22,27168.22,27145.398000000052,27115.928999999975,NaN,NaN,1.47819,1.024919
2023-05-31T21:51:00+02:00,27169.74,27169.74,27152.43,27152.43,27148.02600000005,27117.326399999973,NaN,NaN,1.20899,1.0635634999999999
2023-05-31T21:52:00+02:00,27158.76,27160.48,27145.5,27148.2,27150.148000000052,27118.55699999998,NaN,NaN,5.3012,1.3055435
2023-05-31T21:53:00+02:00,27150.23,27155.42,27147.54,27148.78,27151.768500000046,27119.76939999998,NaN,NaN,0.55111,1.3208135
2023-05-31T21:54:00+02:00,27151.82,27165.38,27151.82,27157.14,27153.69550000005,27121.29499999998,NaN,NaN,0.55969,1.34337
2023-05-31T21:55:00+02:00,27156.38,27156.38,27136.3,27136.3,27154.17950000005,27122.43379999998,NaN,NaN,6.50001,1.657236
2023-05-31T21:56:00+02:00,27135.04,27140.66,27124.65,27124.66,27153.683000000055,27123.369799999982,NaN,NaN,0.39497,1.6624035
2023-05-31T21:57:00+02:00,27132.72,27135.4,27123.66,27135.4,27153.437000000053,27124.52539999998,NaN,NaN,1.54093,1.710239
2023-05-31T21:58:00+02:00,27128.1,27146.19,27128.1,27142.28,27154.050500000052,27125.639399999982,NaN,NaN,0.6755,1.7362825000000002
2023-05-31T21:59:00+02:00,27139.47,27139.47,27068.78,27086.69,27151.79250000005,27125.43399999998,NaN,NaN,1.30087,1.787449
2023-05-31T22:00:00+02:00,27097.41,27100.45,27081.94,27088.05,27149.843500000054,27125.304999999982,NaN,NaN,0.75098,1.8199764999999999
2023-05-31T22:01:00+02:00,27095.88,27104.24,27088.91,27092.41,27146.912500000046,27125.14639999998,NaN,NaN,0.89616,1.841809
2023-05-31T22:02:00+02:00,27083.78,27097.68,27083.78,27094.12,27144.317500000052,27124.96339999998,NaN,NaN,0.2539,1.8270325
2023-05-31T22:03:00+02:00,27091.94,27094.26,27090.1,27094.26,27141.750000000047,27124.647199999985,NaN,NaN,0.06972,1.8157279999999996
2023-05-31T22:04:00+02:00,27092.23,27097.29,27088.94,27090.48,27137.870000000046,27124.242799999978,NaN,NaN,0.66844,1.7329804999999996
2023-05-31T22:05:00+02:00,27092.76,27112.23,27092.76,27097.61,27134.162500000046,27124.05939999998,NaN,NaN,0.37266,1.686103
2023-05-31T22:06:00+02:00,27106.33,27107.92,27104.73,27104.74,27130.71600000005,27124.15759999998,NaN,NaN,0.13507,1.329319
2023-05-31T22:07:00+02:00,27104.88,27109.91,27104.88,27107.26,27127.020000000048,27124.21059999998,NaN,NaN,0.10771,1.1881635
2023-05-31T22:08:00+02:00,27107.23,27114.71,27104.83,27113.46,27123.272000000048,27124.433199999985,NaN,NaN,0.07963,1.1596745
2023-05-31T22:09:00+02:00,27114.53,27116.89,27106.9,27112.86,27119.767500000053,27124.651399999984,NaN,NaN,0.0463,1.1446014999999998
2023-05-31T22:10:00+02:00,27115.84,27118.79,27115.19,27117.72,27117.24250000005,27124.917199999978,NaN,NaN,0.16928,1.0791559999999998
2023-05-31T22:11:00+02:00,27119.25,27119.25,27101.95,27108,27115.021000000048,27124.659999999978,NaN,NaN,0.3751,1.0374614999999998
