time,open,high,low,close,ema20,ema50,ema100,ema200,Volume,Volume MA
2023-06-05T00:40:00+02:00,27375.47,27378.97,27363.28,27376.14,27351.40111011548,27336.141503879164,27318.185147519293,27300.180863394224,1.34562,1.0583579999999932
2023-06-05T00:41:00+02:00,27382.91,27386.95,27361.89,27366.58,27352.84671867591,27337.335170393708,27319.1434614298,27300.84155132065,1.44359,1.1133864999999932
2023-06-05T00:42:00+02:00,27374,27380.39,27364.53,27364.53,27353.959412135348,27338.401634299837,27320.042204767826,27301.475267227906,0.14302,1.1066099999999932
2023-06-05T00:43:00+02:00,27365.37,27372.92,27365.37,27371.51,27355.630896693885,27339.700001582194,27321.06136902985,27302.172130240564,1.36457,1.1655494999999934
2023-06-05T00:44:00+02:00,27362.47,27372.95,27362.46,27370.8,27357.07557319923,27340.919609363285,27322.046292415398,27302.85499461628,0.22371,1.1721454999999934
2023-06-05T00:45:00+02:00,27370.8,27373.03,27359.94,27373.01,27358.593137656444,27342.17805605492,27323.055474743807,27303.55305437134,0.21425,1.1570529999999932
2023-06-05T00:46:00+02:00,27358.64,27364.36,27358.64,27360.78,27358.801410260592,27342.907544052767,27323.80249504591,27304.122476715904,0.06807,1.115233499999993
2023-06-05T00:47:00+02:00,27361.62,27372.52,27357.69,27357.69,27358.695561664346,27343.48724820756,27324.473534747973,27304.655486897835,0.50737,1.0144154999999933
2023-06-05T00:48:00+02:00,27371.8,27373.59,27356.37,27356.37,27358.474079601074,27343.992454160205,27325.10514792128,27305.170059167507,0.3114,0.7799634999999931
2023-06-05T00:49:00+02:00,27356.88,27369.97,27356.88,27369.97,27359.568929162877,27345.01118144804,27325.99356083373,27305.81483469818,0.5879,0.7254129999999932
2023-06-05T00:50:00+02:00,27369.2,27384.16,27353.28,27356.82,27359.30712638546,27345.474272371648,27326.603985371676,27306.322348780785,0.31858,0.6884274999999932
2023-06-05T00:51:00+02:00,27361.15,27369.61,27361.15,27364.85,27359.835019110655,27346.23410482766,27327.361332196,27306.904713469532,0.08947,0.6603944999999932
2023-06-05T00:52:00+02:00,27363.25,27395.98,27363.25,27390.17,27362.72406490964,27347.95708110893,27328.60506819212,27307.733223783267,0.07266,0.6205709999999932
2023-06-05T00:53:00+02:00,27393.61,27393.61,27382.6,27384.02,27364.752249203957,27349.371313222306,27329.702393574455,27308.492296183435,0.18057,0.6145194999999932
2023-06-05T00:54:00+02:00,27384.02,27385.08,27348.14,27353.54,27363.684415946438,27349.534791135156,27330.174425384863,27308.940532042307,1.90325,0.6968914999999931
