time,open,high,low,close,Volume,Volume MA
2023-06-02T22:46:00+02:00,27249.97,27249.97,27238.82,27240.42,0.00838,0.3148484999999933
2023-06-02T22:47:00+02:00,27237.55,27240.03,27231.55,27231.55,0.0854,0.3121344999999933
2023-06-02T22:48:00+02:00,27234.33,27244.39,27234.33,27236.39,0.06419,0.3052069999999933
2023-06-02T22:49:00+02:00,27237.34,27248.11,27237.34,27246.57,0.09242,0.30162299999999326
2023-06-02T22:50:00+02:00,27247.32,27254.56,27247.32,27252.92,0.03008,0.25656299999999327
2023-06-02T22:51:00+02:00,27255.26,27258.6,27254.51,27257.81,0.03229,0.22959849999999324
2023-06-02T22:52:00+02:00,27255.97,27259.77,27246.05,27251.99,0.2128,0.2237999999999932
2023-06-02T22:53:00+02:00,27251.22,27253.71,27249.3,27249.3,0.09257,0.22685499999999323
2023-06-02T22:54:00+02:00,27253.35,27256.71,27253.35,27256.71,0.06395,0.15195449999999325
2023-06-02T22:55:00+02:00,27255.68,27255.69,27255.68,27255.69,0.02031,0.12743599999999325
2023-06-02T22:56:00+02:00,27264.43,27264.84,27244.89,27244.89,0.23618,0.13250349999999325
2023-06-02T22:57:00+02:00,27245.56,27250.46,27245.56,27250.2,0.0101,0.12566049999999324
2023-06-02T22:58:00+02:00,27250.49,27251.52,27244.99,27246.35,0.01293,0.11464799999999324
2023-06-02T22:59:00+02:00,27237.94,27242.19,27231.53,27232.58,0.1732,0.10017399999999324
2023-06-02T23:00:00+02:00,27229.34,27246.39,27229.25,27244.41,0.73277,0.13588999999999324
2023-06-02T23:01:00+02:00,27238.7,27246.04,27238.7,27246.04,0.11795,0.13760899999999324
2023-06-02T23:02:00+02:00,27245.15,27245.16,27234.69,27236.6,0.13303,0.13571499999999323
2023-06-02T23:03:00+02:00,27237.36,27252.78,27237.36,27249.75,0.34817,0.13403849999999323
2023-06-02T23:04:00+02:00,27252.55,27252.56,27249.44,27249.44,0.0632,0.12949649999999324
2023-06-02T23:05:00+02:00,27248.14,27255.73,27248.14,27252.87,0.04147,0.12856949999999323
2023-06-02T23:06:00+02:00,27250.69,27250.69,27234.48,27234.48,0.71693,0.16399699999999323
2023-06-02T23:07:00+02:00,27235.67,27235.71,27228.07,27233.76,0.19944,0.16969899999999324
2023-06-02T23:08:00+02:00,27234.14,27235.62,27232.79,27232.89,0.28532,0.18075549999999324
2023-06-02T23:09:00+02:00,27232.9,27234.65,27232.89,27232.89,0.07149,0.17970899999999324
2023-06-02T23:10:00+02:00,27222.98,27225.74,27222.98,27225.74,0.044,0.18040499999999324
2023-06-02T23:11:00+02:00,27227.42,27227.42,27218.11,27218.5,0.21397,0.18948899999999322
2023-06-02T23:12:00+02:00,27218.13,27218.13,27207.84,27218.07,0.40266,0.19898199999999322
2023-06-02T23:13:00+02:00,27210.58,27222.76,27207.88,27221.95,0.1496,0.20183349999999325
2023-06-02T23:14:00+02:00,27221.44,27228.22,27217.7,27217.7,0.02583,0.19992749999999324
2023-06-02T23:15:00+02:00,27220.82,27228.77,27220.81,27226.66,0.04733,0.20127849999999325
2023-06-02T23:16:00+02:00,27235.25,27235.25,27225.77,27226.31,0.06298,0.19261849999999325
2023-06-02T23:17:00+02:00,27225.78,27226.8,27225.77,27225.96,0.02031,0.19312899999999325
2023-06-02T23:18:00+02:00,27225.83,27234.35,27225.19,27231.72,0.43533,0.21424899999999325
2023-06-02T23:19:00+02:00,27234.99,27240.11,27234.99,27236.08,0.03634,0.20740599999999326
2023-06-02T23:20:00+02:00,27234.09,27235.46,27233.46,27235.46,0.00765,0.17114999999999328
2023-06-02T23:21:00+02:00,27235.97,27237.46,27216.1,27216.1,0.40362,0.18543349999999328
2023-06-02T23:22:00+02:00,27219.02,27223.56,27216.14,27216.14,0.05705,0.18163449999999326
2023-06-02T23:23:00+02:00,27215.67,27220.28,27215.67,27220.27,0.03856,0.16615399999999325
2023-06-02T23:24:00+02:00,27221.23,27226.88,27221.1,27226.88,0.05619,0.16580349999999325
